Titel,Werktitel,Übersetzter Titel,Autor*in,Mitwirkende/r,Digitalisat,Inhaltstyp,Hochschulschrift,Inhaltstyp,Inhalt,Beschreibung,Verknüpfte Titel,Anmerkungen,Serie,Verlag,Erschienen,Verlauf,Ausgabe,Nachdruck,Format,Häufigkeit,Sprache,Gebunden mit,Rechte,Thema,MESH Schlagwörter,Klassifikation,Ist enthalten in,Kursinformationen,Anmerkungen,Anmerkungen,Thema,Identifikator,Lokale Signatur,Quelle,Link
A Case Study of WiFi Sniffing Performance Evaluation,,,"Li, Yan   Barthelemy, Johan   Sun, Shuai   Perez, Pascal   Moran, Bill",,,,,,,"Mobile devices regularly broadcast WiFi probe requests in order to discover available proximal WiFi access points for connection. A probe request, sent automatically in the active scanning mode, consisting of the MAC address of the device expresses an advertisement of its presence. A real-time wireless sniffing system is able to sense WiFi packets and analyse wireless traffic. This provides an opportunity to obtain insights into the interaction between the humans carrying the mobile devices and the environment. Susceptibility to loss of the wireless data transmission is an important limitation on this idea, and this is complicated by the lack of a standard specification for real deployment of WiFi sniffers. In this paper, we present an experimental analysis of sniffing performance under different wireless environments using off-the-shelf products. Our objective is to identify the possible factors including channel settings and access point configurations that affect sniffing behaviours and performances, thereby enabling the design of a protocol for a WiFi sniffing system under the optimal monitoring strategy in a real deployment. Our preliminary results show that four main factors affect the sniffing performance: the number of access points and their corresponding operating channels, the signal strength of the access point and the number of devices in the vicinity. In terms of a real field deployment, we propose assignment of one sniffing device to each specific sub-region based on the local access point signal strength and coverage area and fixing the monitoring channel belongs to the local strongest access point.",,,,PISCATAWAY: IEEE,,,,,,,Englisch,,"Copyright The Institute of Electrical and Electronics Engineers, Inc. (IEEE) 2020",Computer science    Electronic apparatus and appliances    Engineering    IEEE 802.11 (Standard)    Monitoring    Technology    Telecommunication    Wireless sensor networks,,,"IEEE access, 2020, Vol.8, p.129224-129235",,,,,ISSN: 2169-3536 EISSN: 2169-3536 DOI: 10.1109/ACCESS.2020.3008533 CODEN: IAECCG,,DOAJ,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_webofscience_primary_000551825000001
A Case Study of WiFi Sniffing Performance Evaluation,,,"Li, Yan   Barthelemy, Johan   Sun, Shuai   Perez, Pascal   Moran, Bill",,,,,,,"Mobile devices regularly broadcast WiFi probe requests in order to discover available proximal WiFi access points for connection. A probe request, sent automatically in the active scanning mode, consisting of the MAC address of the device expresses an advertisement of its presence. A real-time wireless sniffing system is able to sense WiFi packets and analyse wireless traffic. This provides an opportunity to obtain insights into the interaction between the humans carrying the mobile devices and the environment. Susceptibility to loss of the wireless data transmission is an important limitation on this idea, and this is complicated by the lack of a standard specification for real deployment of WiFi sniffers. In this paper, we present an experimental analysis of sniffing performance under different wireless environments using off-the-shelf products. Our objective is to identify the possible factors including channel settings and access point configurations that affect sniffing behaviours and performances, thereby enabling the design of a protocol for a WiFi sniffing system under the optimal monitoring strategy in a real deployment. Our preliminary results show that four main factors affect the sniffing performance: the number of access points and their corresponding operating channels, the signal strength of the access point and the number of devices in the vicinity. In terms of a real field deployment, we propose assignment of one sniffing device to each specific sub-region based on the local access point signal strength and coverage area and fixing the monitoring channel belongs to the local strongest access point.",,,,PISCATAWAY: IEEE,,,,,,,Englisch,,"Copyright The Institute of Electrical and Electronics Engineers, Inc. (IEEE) 2020",Computer science    Electronic apparatus and appliances    Engineering    IEEE 802.11 (Standard)    Monitoring    Technology    Telecommunication    Wireless sensor networks,,,"IEEE access, 2020, Vol.8, p.129224-129235",,,,,ISSN: 2169-3536 EISSN: 2169-3536 DOI: 10.1109/ACCESS.2020.3008533 CODEN: IAECCG,,EZB,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_webofscience_primary_000551825000001
A Case Study of WiFi Sniffing Performance Evaluation,,,"Li, Yan   Barthelemy, Johan   Sun, Shuai   Perez, Pascal   Moran, Bill",,,,,,,"Mobile devices regularly broadcast WiFi probe requests in order to discover available proximal WiFi access points for connection. A probe request, sent automatically in the active scanning mode, consisting of the MAC address of the device expresses an advertisement of its presence. A real-time wireless sniffing system is able to sense WiFi packets and analyse wireless traffic. This provides an opportunity to obtain insights into the interaction between the humans carrying the mobile devices and the environment. Susceptibility to loss of the wireless data transmission is an important limitation on this idea, and this is complicated by the lack of a standard specification for real deployment of WiFi sniffers. In this paper, we present an experimental analysis of sniffing performance under different wireless environments using off-the-shelf products. Our objective is to identify the possible factors including channel settings and access point configurations that affect sniffing behaviours and performances, thereby enabling the design of a protocol for a WiFi sniffing system under the optimal monitoring strategy in a real deployment. Our preliminary results show that four main factors affect the sniffing performance: the number of access points and their corresponding operating channels, the signal strength of the access point and the number of devices in the vicinity. In terms of a real field deployment, we propose assignment of one sniffing device to each specific sub-region based on the local access point signal strength and coverage area and fixing the monitoring channel belongs to the local strongest access point.",,,,PISCATAWAY: IEEE,,,,,,,Englisch,,"Copyright The Institute of Electrical and Electronics Engineers, Inc. (IEEE) 2020",Computer science    Electronic apparatus and appliances    Engineering    IEEE 802.11 (Standard)    Monitoring    Technology    Telecommunication    Wireless sensor networks,,,"IEEE access, 2020, Vol.8, p.129224-129235",,,,,ISSN: 2169-3536 EISSN: 2169-3536 DOI: 10.1109/ACCESS.2020.3008533 CODEN: IAECCG,,ROAD,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_webofscience_primary_000551825000001
A Case Study of WiFi Sniffing Performance Evaluation,,,"Li, Yan   Barthelemy, Johan   Sun, Shuai   Perez, Pascal   Moran, Bill",,,,,,,"Mobile devices regularly broadcast WiFi probe requests in order to discover available proximal WiFi access points for connection. A probe request, sent automatically in the active scanning mode, consisting of the MAC address of the device expresses an advertisement of its presence. A real-time wireless sniffing system is able to sense WiFi packets and analyse wireless traffic. This provides an opportunity to obtain insights into the interaction between the humans carrying the mobile devices and the environment. Susceptibility to loss of the wireless data transmission is an important limitation on this idea, and this is complicated by the lack of a standard specification for real deployment of WiFi sniffers. In this paper, we present an experimental analysis of sniffing performance under different wireless environments using off-the-shelf products. Our objective is to identify the possible factors including channel settings and access point configurations that affect sniffing behaviours and performances, thereby enabling the design of a protocol for a WiFi sniffing system under the optimal monitoring strategy in a real deployment. Our preliminary results show that four main factors affect the sniffing performance: the number of access points and their corresponding operating channels, the signal strength of the access point and the number of devices in the vicinity. In terms of a real field deployment, we propose assignment of one sniffing device to each specific sub-region based on the local access point signal strength and coverage area and fixing the monitoring channel belongs to the local strongest access point.",,,,PISCATAWAY: IEEE,,,,,,,Englisch,,"Copyright The Institute of Electrical and Electronics Engineers, Inc. (IEEE) 2020",Computer science    Electronic apparatus and appliances    Engineering    IEEE 802.11 (Standard)    Monitoring    Technology    Telecommunication    Wireless sensor networks,,,"IEEE access, 2020, Vol.8, p.129224-129235",,,,,ISSN: 2169-3536 EISSN: 2169-3536 DOI: 10.1109/ACCESS.2020.3008533 CODEN: IAECCG,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_webofscience_primary_000551825000001
A Case Study of WiFi Sniffing Performance Evaluation,,,"Li, Yan   Barthelemy, Johan   Sun, Shuai   Perez, Pascal   Moran, Bill",,,,,,,"Mobile devices regularly broadcast WiFi probe requests in order to discover available proximal WiFi access points for connection. A probe request, sent automatically in the active scanning mode, consisting of the MAC address of the device expresses an advertisement of its presence. A real-time wireless sniffing system is able to sense WiFi packets and analyse wireless traffic. This provides an opportunity to obtain insights into the interaction between the humans carrying the mobile devices and the environment. Susceptibility to loss of the wireless data transmission is an important limitation on this idea, and this is complicated by the lack of a standard specification for real deployment of WiFi sniffers. In this paper, we present an experimental analysis of sniffing performance under different wireless environments using off-the-shelf products. Our objective is to identify the possible factors including channel settings and access point configurations that affect sniffing behaviours and performances, thereby enabling the design of a protocol for a WiFi sniffing system under the optimal monitoring strategy in a real deployment. Our preliminary results show that four main factors affect the sniffing performance: the number of access points and their corresponding operating channels, the signal strength of the access point and the number of devices in the vicinity. In terms of a real field deployment, we propose assignment of one sniffing device to each specific sub-region based on the local access point signal strength and coverage area and fixing the monitoring channel belongs to the local strongest access point.",,,,PISCATAWAY: IEEE,,,,,,,Englisch,,"Copyright The Institute of Electrical and Electronics Engineers, Inc. (IEEE) 2020",Computer science    Electronic apparatus and appliances    Engineering    IEEE 802.11 (Standard)    Monitoring    Technology    Telecommunication    Wireless sensor networks,,,"IEEE access, 2020, Vol.8, p.129224-129235",,,,,ISSN: 2169-3536 EISSN: 2169-3536 DOI: 10.1109/ACCESS.2020.3008533 CODEN: IAECCG,,Web of Science,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_webofscience_primary_000551825000001
ANALISIS KEAMANAN JARINGAN PADA FASILITAS WIFI TERHADAP SERANGAN SNIFFING DI PT DUTA COMPUTER,,,"Silalahi, Putri Rosayanti   Sitohang, Sunarsan",,,,,,,"Technological developments and dependence on WiFi networks have brought many benefits in the business world, including at PT Duta Computer. However, network security is becoming a critical issue as cyber attacks become increasingly complex and sophisticated. One potential attack is a sniffing attack, in which the attacker tries to steal sensitive data that is sent over a WiFi network. This study aims to conduct an in-depth analysis of network security on WiFi facilities at PT Duta Computer against sniffing attacks. The results of this study are expected to provide deeper insight into the level of security of the WiFi network at PT Duta Computer and help companies to identify and address potential security vulnerabilities. By enhancing network security, PT Duta Computer can ensure that sensitive customer data and corporate information remain safe from sniffing attacks.",,,,,,,,,,,Englisch,,,,,,"Computer and Science Industrial Engineering (COMASIE), 2023-10, Vol.9 (8), p.30",,,,,ISSN: 2715-6265 EISSN: 2715-6265 DOI: 10.33884/comasiejournal.v9i8.7954,,ROAD,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_33884_comasiejournal_v9i8_7954
ANALISIS KEAMANAN JARINGAN PADA FASILITAS WIFI TERHADAP SERANGAN SNIFFING DI PT DUTA COMPUTER,,,"Silalahi, Putri Rosayanti   Sitohang, Sunarsan",,,,,,,"Technological developments and dependence on WiFi networks have brought many benefits in the business world, including at PT Duta Computer. However, network security is becoming a critical issue as cyber attacks become increasingly complex and sophisticated. One potential attack is a sniffing attack, in which the attacker tries to steal sensitive data that is sent over a WiFi network. This study aims to conduct an in-depth analysis of network security on WiFi facilities at PT Duta Computer against sniffing attacks. The results of this study are expected to provide deeper insight into the level of security of the WiFi network at PT Duta Computer and help companies to identify and address potential security vulnerabilities. By enhancing network security, PT Duta Computer can ensure that sensitive customer data and corporate information remain safe from sniffing attacks.",,,,,,,,,,,Englisch,,,,,,"Computer and Science Industrial Engineering (COMASIE), 2023-10, Vol.9 (8), p.30",,,,,ISSN: 2715-6265 EISSN: 2715-6265 DOI: 10.33884/comasiejournal.v9i8.7954,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_33884_comasiejournal_v9i8_7954
Detection and Analysis of Packet Sniffing Attacks Using Wireshark on Wifi Networks: A Practical Approach to Network Security Case Study of Puskesmas Sungsang,,,M. Hajaji Alfarizi   Zulhipni Reno Saputra Elsi   Apriansyah   Karnadi4,,,,,,,"In the last two decades, advances in internet technology have significantly influenced various sectors, including healthcare. The integration of information technology into health services has become essential for improving operational efficiency through integrated medical information systems, structured patient management, and digital financial administration. The Sungsang Health Center, as a community-based healthcare facility, relies heavily on networked systems to support daily activities such as patient registration and electronic medical record management, which involve highly sensitive data. This condition increases the risk of data leakage, particularly due to packet sniffing attacks. Therefore, strengthening network security policies is a critical need. This research aims to analyze potential packet sniffing threats and support the prevention of data leaks at the Sungsang Health Center by utilizing Wireshark as a network analysis tool. Wireshark enables detailed monitoring and analysis of data packets to identify suspicious activities that are not easily detected manually. The study provides insights into techniques for detecting and analyzing network vulnerabilities, which can serve as a reference for improving network security policies. The results are expected to support the development of safer and more reliable digital health systems and raise awareness of the importance of protecting patient data.",,,,,,,,,,,Englisch,,,,,,"JURNAL TEKNOLOGI DAN OPEN SOURCE, 2025-12, Vol.8 (2), p.1084-1090",,,,,ISSN: 2655-7592 ISSN: 2622-1659 EISSN: 2622-1659 DOI: 10.36378/jtos.v8i2.5112,,ROAD,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_36378_jtos_v8i2_5112
Detection and Analysis of Packet Sniffing Attacks Using Wireshark on Wifi Networks: A Practical Approach to Network Security Case Study of Puskesmas Sungsang,,,M. Hajaji Alfarizi   Zulhipni Reno Saputra Elsi   Apriansyah   Karnadi4,,,,,,,"In the last two decades, advances in internet technology have significantly influenced various sectors, including healthcare. The integration of information technology into health services has become essential for improving operational efficiency through integrated medical information systems, structured patient management, and digital financial administration. The Sungsang Health Center, as a community-based healthcare facility, relies heavily on networked systems to support daily activities such as patient registration and electronic medical record management, which involve highly sensitive data. This condition increases the risk of data leakage, particularly due to packet sniffing attacks. Therefore, strengthening network security policies is a critical need. This research aims to analyze potential packet sniffing threats and support the prevention of data leaks at the Sungsang Health Center by utilizing Wireshark as a network analysis tool. Wireshark enables detailed monitoring and analysis of data packets to identify suspicious activities that are not easily detected manually. The study provides insights into techniques for detecting and analyzing network vulnerabilities, which can serve as a reference for improving network security policies. The results are expected to support the development of safer and more reliable digital health systems and raise awareness of the importance of protecting patient data.",,,,,,,,,,,Englisch,,,,,,"JURNAL TEKNOLOGI DAN OPEN SOURCE, 2025-12, Vol.8 (2), p.1084-1090",,,,,ISSN: 2655-7592 ISSN: 2622-1659 EISSN: 2622-1659 DOI: 10.36378/jtos.v8i2.5112,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_36378_jtos_v8i2_5112
Sniffing Pada Jaringan WiFi Berbasis Protokol 802.1x Menggunakan Aplikasi Wireshark,,,,,,,,,,,,,,,,,,,,,Englisch,,,,,,J-SAKTI (Jurnal Sains Komputer dan Informatika),,,,,ISSN: 2549-7200 ISSN: 2548-9771 DOI: 10.30645/j-sakti.v4i1.181,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_unpaywall_primary_10_30645_j_sakti_v4i1_181
