Titel,Werktitel,Übersetzter Titel,Autor*in,Mitwirkende/r,Digitalisat,Inhaltstyp,Hochschulschrift,Inhaltstyp,Inhalt,Beschreibung,Verknüpfte Titel,Anmerkungen,Serie,Verlag,Erschienen,Verlauf,Ausgabe,Nachdruck,Format,Häufigkeit,Sprache,Gebunden mit,Rechte,Thema,MESH Schlagwörter,Klassifikation,Ist enthalten in,Kursinformationen,Anmerkungen,Anmerkungen,Thema,Identifikator,Lokale Signatur,Quelle,Link
A Novel Covert Channel for IEEE 802.11 Networks Utilizing MAC Address Randomization,,,"Teca, Geovani   Natkaniec, Marek",,,,,,,"Vendors implement the MAC address randomization technique to prevent IEEE 802.11 client station devices from being tracked. Although it conceals device identity, it cannot hide its occurring data transmission. This paper presents a novel covert channel that leverages the MAC address randomization technique to create a covert channel to hide data transmission inside IEEE 802.11 networks. The secret data are a disposable random MAC address generated by the IEEE 802.11 station as part of the probe request frame while scanning the network. The paper presents the concept of the covert channel, its implementation, and performance metrics. The study covers diverse scenarios, including the adaptation of the modified Selective Repeat ARQ protocol to alleviate the impact of the number of client stations and their offered loads on the covert channel. The results show that with the appropriate parameter selections, we can adapt the covert channel to produce excellent throughput, efficiency, delay, and jitter according to the environment in which it is installed.",,,,BASEL: Mdpi,,,,,,,Englisch,,"COPYRIGHT 2023 MDPI AG 2023 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Access control    Bridges    Chemistry    Communication    Engineering    Internet of things    Materials science    Physical sciences    Physics    Technology,,,"Applied sciences, 2023-07, Vol.13 (14), p.8000, Article 8000",,,,,ISSN: 2076-3417 EISSN: 2076-3417 DOI: 10.3390/app13148000,,DOAJ,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_doaj_primary_oai_doaj_org_article_888c8867bc8b4f18a2d2eb2ce72a920d
A Novel Covert Channel for IEEE 802.11 Networks Utilizing MAC Address Randomization,,,"Teca, Geovani   Natkaniec, Marek",,,,,,,"Vendors implement the MAC address randomization technique to prevent IEEE 802.11 client station devices from being tracked. Although it conceals device identity, it cannot hide its occurring data transmission. This paper presents a novel covert channel that leverages the MAC address randomization technique to create a covert channel to hide data transmission inside IEEE 802.11 networks. The secret data are a disposable random MAC address generated by the IEEE 802.11 station as part of the probe request frame while scanning the network. The paper presents the concept of the covert channel, its implementation, and performance metrics. The study covers diverse scenarios, including the adaptation of the modified Selective Repeat ARQ protocol to alleviate the impact of the number of client stations and their offered loads on the covert channel. The results show that with the appropriate parameter selections, we can adapt the covert channel to produce excellent throughput, efficiency, delay, and jitter according to the environment in which it is installed.",,,,BASEL: Mdpi,,,,,,,Englisch,,"COPYRIGHT 2023 MDPI AG 2023 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Access control    Bridges    Chemistry    Communication    Engineering    Internet of things    Materials science    Physical sciences    Physics    Technology,,,"Applied sciences, 2023-07, Vol.13 (14), p.8000, Article 8000",,,,,ISSN: 2076-3417 EISSN: 2076-3417 DOI: 10.3390/app13148000,,EZB,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_doaj_primary_oai_doaj_org_article_888c8867bc8b4f18a2d2eb2ce72a920d
A Novel Covert Channel for IEEE 802.11 Networks Utilizing MAC Address Randomization,,,"Teca, Geovani   Natkaniec, Marek",,,,,,,"Vendors implement the MAC address randomization technique to prevent IEEE 802.11 client station devices from being tracked. Although it conceals device identity, it cannot hide its occurring data transmission. This paper presents a novel covert channel that leverages the MAC address randomization technique to create a covert channel to hide data transmission inside IEEE 802.11 networks. The secret data are a disposable random MAC address generated by the IEEE 802.11 station as part of the probe request frame while scanning the network. The paper presents the concept of the covert channel, its implementation, and performance metrics. The study covers diverse scenarios, including the adaptation of the modified Selective Repeat ARQ protocol to alleviate the impact of the number of client stations and their offered loads on the covert channel. The results show that with the appropriate parameter selections, we can adapt the covert channel to produce excellent throughput, efficiency, delay, and jitter according to the environment in which it is installed.",,,,BASEL: Mdpi,,,,,,,Englisch,,"COPYRIGHT 2023 MDPI AG 2023 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Access control    Bridges    Chemistry    Communication    Engineering    Internet of things    Materials science    Physical sciences    Physics    Technology,,,"Applied sciences, 2023-07, Vol.13 (14), p.8000, Article 8000",,,,,ISSN: 2076-3417 EISSN: 2076-3417 DOI: 10.3390/app13148000,,ROAD,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_doaj_primary_oai_doaj_org_article_888c8867bc8b4f18a2d2eb2ce72a920d
A Novel Covert Channel for IEEE 802.11 Networks Utilizing MAC Address Randomization,,,"Teca, Geovani   Natkaniec, Marek",,,,,,,"Vendors implement the MAC address randomization technique to prevent IEEE 802.11 client station devices from being tracked. Although it conceals device identity, it cannot hide its occurring data transmission. This paper presents a novel covert channel that leverages the MAC address randomization technique to create a covert channel to hide data transmission inside IEEE 802.11 networks. The secret data are a disposable random MAC address generated by the IEEE 802.11 station as part of the probe request frame while scanning the network. The paper presents the concept of the covert channel, its implementation, and performance metrics. The study covers diverse scenarios, including the adaptation of the modified Selective Repeat ARQ protocol to alleviate the impact of the number of client stations and their offered loads on the covert channel. The results show that with the appropriate parameter selections, we can adapt the covert channel to produce excellent throughput, efficiency, delay, and jitter according to the environment in which it is installed.",,,,BASEL: Mdpi,,,,,,,Englisch,,"COPYRIGHT 2023 MDPI AG 2023 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Access control    Bridges    Chemistry    Communication    Engineering    Internet of things    Materials science    Physical sciences    Physics    Technology,,,"Applied sciences, 2023-07, Vol.13 (14), p.8000, Article 8000",,,,,ISSN: 2076-3417 EISSN: 2076-3417 DOI: 10.3390/app13148000,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_doaj_primary_oai_doaj_org_article_888c8867bc8b4f18a2d2eb2ce72a920d
A Novel Covert Channel for IEEE 802.11 Networks Utilizing MAC Address Randomization,,,"Teca, Geovani   Natkaniec, Marek",,,,,,,"Vendors implement the MAC address randomization technique to prevent IEEE 802.11 client station devices from being tracked. Although it conceals device identity, it cannot hide its occurring data transmission. This paper presents a novel covert channel that leverages the MAC address randomization technique to create a covert channel to hide data transmission inside IEEE 802.11 networks. The secret data are a disposable random MAC address generated by the IEEE 802.11 station as part of the probe request frame while scanning the network. The paper presents the concept of the covert channel, its implementation, and performance metrics. The study covers diverse scenarios, including the adaptation of the modified Selective Repeat ARQ protocol to alleviate the impact of the number of client stations and their offered loads on the covert channel. The results show that with the appropriate parameter selections, we can adapt the covert channel to produce excellent throughput, efficiency, delay, and jitter according to the environment in which it is installed.",,,,BASEL: Mdpi,,,,,,,Englisch,,"COPYRIGHT 2023 MDPI AG 2023 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (https://creativecommons.org/licenses/by/4.0/). Notwithstanding the ProQuest Terms and Conditions, you may use this content in accordance with the terms of the License.",Access control    Bridges    Chemistry    Communication    Engineering    Internet of things    Materials science    Physical sciences    Physics    Technology,,,"Applied sciences, 2023-07, Vol.13 (14), p.8000, Article 8000",,,,,ISSN: 2076-3417 EISSN: 2076-3417 DOI: 10.3390/app13148000,,Web of Science,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_doaj_primary_oai_doaj_org_article_888c8867bc8b4f18a2d2eb2ce72a920d
Indoor Crowd Estimation Scheme Using the Number of Wi-Fi Probe Requests under MAC Address Randomization,,,"FURUYA, Yuki   ASAHINA, Hiromu   YOSHIDA, Masashi   SASASE, Iwao",,,,,,,"As smartphones have become widespread in the past decade, Wi-Fi signal-based crowd estimation schemes are receiving increased attention. These estimation schemes count the number of unique MAC addresses in Wi-Fi signals, hereafter called probe requests (PRs), instead of counting the number of people. However, these estimation schemes have low accuracy of crowd estimation under MAC address randomization that replaces a unique MAC address with various dummy MAC addresses. To solve this problem, in this paper, we propose an indoor crowd estimation scheme using the number of PRs under MAC address randomization. The main idea of the proposed scheme is to leverage the fact that the number of PRs per a unit of time changes in proportion to the number of smartphones. Since a smartphone tends to send a constant number of PRs per a unit of time, the proposed scheme can estimate the accurate number of smartphones. Various experiment results show that the proposed scheme reduces estimation error by at most 75% compared to the conventional Wi-Fi signal-based crowd estimation scheme in an indoor environment.",,,,"TOKYO: The Institute of Electronics, Information and Communication Engineers",,,,,,,Englisch,,"2021 The Institute of Electronics, Information and Communication Engineers Copyright Japan Science and Technology Agency 2021",Computer science    Random Allocation    Smartphones    Technology,,,"IEICE Transactions on Information and Systems, 2021/09/01, Vol.E104.D(9), pp.1420-1426",,,,,ISSN: 0916-8532 ISSN: 1745-1361 EISSN: 1745-1361 DOI: 10.1587/transinf.2020EDP7228,,EZB,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_jstage_primary_article_transinf_E104_D_9_E104_D_2020EDP7228_article_char_en
Indoor Crowd Estimation Scheme Using the Number of Wi-Fi Probe Requests under MAC Address Randomization,,,"FURUYA, Yuki   ASAHINA, Hiromu   YOSHIDA, Masashi   SASASE, Iwao",,,,,,,"As smartphones have become widespread in the past decade, Wi-Fi signal-based crowd estimation schemes are receiving increased attention. These estimation schemes count the number of unique MAC addresses in Wi-Fi signals, hereafter called probe requests (PRs), instead of counting the number of people. However, these estimation schemes have low accuracy of crowd estimation under MAC address randomization that replaces a unique MAC address with various dummy MAC addresses. To solve this problem, in this paper, we propose an indoor crowd estimation scheme using the number of PRs under MAC address randomization. The main idea of the proposed scheme is to leverage the fact that the number of PRs per a unit of time changes in proportion to the number of smartphones. Since a smartphone tends to send a constant number of PRs per a unit of time, the proposed scheme can estimate the accurate number of smartphones. Various experiment results show that the proposed scheme reduces estimation error by at most 75% compared to the conventional Wi-Fi signal-based crowd estimation scheme in an indoor environment.",,,,"TOKYO: The Institute of Electronics, Information and Communication Engineers",,,,,,,Englisch,,"2021 The Institute of Electronics, Information and Communication Engineers Copyright Japan Science and Technology Agency 2021",Computer science    Random Allocation    Smartphones    Technology,,,"IEICE Transactions on Information and Systems, 2021/09/01, Vol.E104.D(9), pp.1420-1426",,,,,ISSN: 0916-8532 ISSN: 1745-1361 EISSN: 1745-1361 DOI: 10.1587/transinf.2020EDP7228,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_jstage_primary_article_transinf_E104_D_9_E104_D_2020EDP7228_article_char_en
Indoor Crowd Estimation Scheme Using the Number of Wi-Fi Probe Requests under MAC Address Randomization,,,"FURUYA, Yuki   ASAHINA, Hiromu   YOSHIDA, Masashi   SASASE, Iwao",,,,,,,"As smartphones have become widespread in the past decade, Wi-Fi signal-based crowd estimation schemes are receiving increased attention. These estimation schemes count the number of unique MAC addresses in Wi-Fi signals, hereafter called probe requests (PRs), instead of counting the number of people. However, these estimation schemes have low accuracy of crowd estimation under MAC address randomization that replaces a unique MAC address with various dummy MAC addresses. To solve this problem, in this paper, we propose an indoor crowd estimation scheme using the number of PRs under MAC address randomization. The main idea of the proposed scheme is to leverage the fact that the number of PRs per a unit of time changes in proportion to the number of smartphones. Since a smartphone tends to send a constant number of PRs per a unit of time, the proposed scheme can estimate the accurate number of smartphones. Various experiment results show that the proposed scheme reduces estimation error by at most 75% compared to the conventional Wi-Fi signal-based crowd estimation scheme in an indoor environment.",,,,"TOKYO: The Institute of Electronics, Information and Communication Engineers",,,,,,,Englisch,,"2021 The Institute of Electronics, Information and Communication Engineers Copyright Japan Science and Technology Agency 2021",Computer science    Random Allocation    Smartphones    Technology,,,"IEICE Transactions on Information and Systems, 2021/09/01, Vol.E104.D(9), pp.1420-1426",,,,,ISSN: 0916-8532 ISSN: 1745-1361 EISSN: 1745-1361 DOI: 10.1587/transinf.2020EDP7228,,Web of Science,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_jstage_primary_article_transinf_E104_D_9_E104_D_2020EDP7228_article_char_en
MAC address de-randomization for WiFi device counting: Combining temporal- and content-based fingerprints,,,"Uras, Marco   Ferrara, Enrico   Cossu, Raimondo   Liotta, Antonio   Atzori, Luigi",,,,,,,"To preserve people privacy and prevent device (and people) tracking, WiFi MAC address randomization is been introduced by an ever increasing number of operating systems. Accordingly, mobile devices make use of different virtual addresses over time so that not a single fixed factory address is used that may identify a specific user. This has the consequence that it is not even possible to extract anonymous information on people mobility by analyzing WiFi traffic traces, which would be useful for many purposes (e.g., counting the number of people in a mass transport vehicle).
To address this issue, in this paper we propose a novel MAC address de-randomization algorithm which groups specific messages (i.e., the Probe Requests) generated by the same physical device. With respect to past works, we consider a combination of the features that have been previously considered in isolation, which are associated to the content and length of the optional fields conveyed in the sent frames and the rate at which the frames are numbered over time. These features are then used by density-based clustering algorithms (i.e., DBSCAN, OPTICS, HDBSCAN) to group frames sent by the same device. Additionally, we consider the presence of pseudo-random MAC addresses, which are those that do not change every frame but only when the emitting device switches on and off the WiFi interface. To this, we have developed an heuristic to detect these sequences of frames so as to improve the algorithm efficacy. Experiments have been initially performed in a controlled environment where we reached an accuracy close to 96%. Then, experiments in a real scenario have been conducted where the people taking the bus when moving in an urban area have been counted; in such a scenario an average accuracy of 75% has been obtained.",,,,AMSTERDAM: Elsevier B.V,,,,,,,Englisch,,"2022 Elsevier B.V. Copyright Elsevier Sequoia S.A. Dec 9, 2022","Algorithms    Cell phones    Cities and towns    Cluster analysis    Computer science    Counting    Electronic apparatus and appliances    Engineering    Experiments    Heuristic    Metropolitan areas    Migration, Internal    Privacy    Random Allocation    Technology    Telecommunication    Wireless communication systems",,,"Computer networks (Amsterdam, Netherlands : 1999), 2022-12, Vol.218, p.109393, Article 109393",,,,,ISSN: 1389-1286 ISSN: 1872-7069 EISSN: 1872-7069 DOI: 10.1016/j.comnet.2022.109393,,Unpaywall,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_elsevier_sciencedirect_doi_10_1016_j_comnet_2022_109393
MAC address de-randomization for WiFi device counting: Combining temporal- and content-based fingerprints,,,"Uras, Marco   Ferrara, Enrico   Cossu, Raimondo   Liotta, Antonio   Atzori, Luigi",,,,,,,"To preserve people privacy and prevent device (and people) tracking, WiFi MAC address randomization is been introduced by an ever increasing number of operating systems. Accordingly, mobile devices make use of different virtual addresses over time so that not a single fixed factory address is used that may identify a specific user. This has the consequence that it is not even possible to extract anonymous information on people mobility by analyzing WiFi traffic traces, which would be useful for many purposes (e.g., counting the number of people in a mass transport vehicle).
To address this issue, in this paper we propose a novel MAC address de-randomization algorithm which groups specific messages (i.e., the Probe Requests) generated by the same physical device. With respect to past works, we consider a combination of the features that have been previously considered in isolation, which are associated to the content and length of the optional fields conveyed in the sent frames and the rate at which the frames are numbered over time. These features are then used by density-based clustering algorithms (i.e., DBSCAN, OPTICS, HDBSCAN) to group frames sent by the same device. Additionally, we consider the presence of pseudo-random MAC addresses, which are those that do not change every frame but only when the emitting device switches on and off the WiFi interface. To this, we have developed an heuristic to detect these sequences of frames so as to improve the algorithm efficacy. Experiments have been initially performed in a controlled environment where we reached an accuracy close to 96%. Then, experiments in a real scenario have been conducted where the people taking the bus when moving in an urban area have been counted; in such a scenario an average accuracy of 75% has been obtained.",,,,AMSTERDAM: Elsevier B.V,,,,,,,Englisch,,"2022 Elsevier B.V. Copyright Elsevier Sequoia S.A. Dec 9, 2022","Algorithms    Cell phones    Cities and towns    Cluster analysis    Computer science    Counting    Electronic apparatus and appliances    Engineering    Experiments    Heuristic    Metropolitan areas    Migration, Internal    Privacy    Random Allocation    Technology    Telecommunication    Wireless communication systems",,,"Computer networks (Amsterdam, Netherlands : 1999), 2022-12, Vol.218, p.109393, Article 109393",,,,,ISSN: 1389-1286 ISSN: 1872-7069 EISSN: 1872-7069 DOI: 10.1016/j.comnet.2022.109393,,Web of Science,https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/dm8bhl/cdi_elsevier_sciencedirect_doi_10_1016_j_comnet_2022_109393
